"Time","""ts-preserve-service-5b6ddfd59f-wnst6"""
2024-05-01 13:59:15,199458816
2024-05-01 13:59:30,199467008
2024-05-01 13:59:45,199540736
2024-05-01 14:00:00,199561216
2024-05-01 14:00:15,199573504
2024-05-01 14:00:30,199585792
2024-05-01 14:00:45,199593984
2024-05-01 14:01:00,199593984
2024-05-01 14:01:15,204050432
2024-05-01 14:01:30,204034048
2024-05-01 14:01:45,204054528
2024-05-01 14:02:00,204087296
2024-05-01 14:02:15,204087296
2024-05-01 14:02:30,209346560
2024-05-01 14:02:45,209346560
2024-05-01 14:03:00,209473536
2024-05-01 14:03:15,209489920
2024-05-01 14:03:30,209514496
2024-05-01 14:03:45,209514496
2024-05-01 14:04:00,209555456
2024-05-01 14:04:15,209563648
2024-05-01 14:04:30,209563648
2024-05-01 14:04:45,209567744
2024-05-01 14:05:00,209567744
2024-05-01 14:05:15,209584128
2024-05-01 14:05:30,209588224
2024-05-01 14:05:45,209625088
2024-05-01 14:06:00,209653760
2024-05-01 14:06:15,209653760
2024-05-01 14:06:30,209657856
2024-05-01 14:06:45,209682432
2024-05-01 14:07:00,209764352
2024-05-01 14:07:15,209764352
2024-05-01 14:07:30,209891328
2024-05-01 14:07:45,210186240
2024-05-01 14:08:00,210235392
2024-05-01 14:08:15,210243584
2024-05-01 14:08:30,210247680
2024-05-01 14:08:45,210264064
2024-05-01 14:09:00,210264064
2024-05-01 14:09:15,210300928
2024-05-01 14:09:30,210321408
2024-05-01 14:09:45,210321408
2024-05-01 14:10:00,210341888
2024-05-01 14:10:15,210345984
2024-05-01 14:10:30,210345984
2024-05-01 14:10:45,210477056
2024-05-01 14:11:00,210477056
2024-05-01 14:11:15,210477056
2024-05-01 14:11:30,210477056
2024-05-01 14:11:45,210477056
2024-05-01 14:12:00,210477056
2024-05-01 14:12:15,210477056
2024-05-01 14:12:30,210489344
2024-05-01 14:12:45,210591744
2024-05-01 14:13:00,210591744
2024-05-01 14:13:15,210718720
2024-05-01 14:13:30,210718720
2024-05-01 14:13:45,211369984
2024-05-01 14:14:00,211116032
2024-05-01 14:14:15,211156992
2024-05-01 14:14:30,211189760
2024-05-01 14:14:45,211161088
2024-05-01 14:15:00,211161088
2024-05-01 14:15:15,211161088
2024-05-01 14:15:30,211169280
2024-05-01 14:15:45,211165184
2024-05-01 14:16:00,211165184
2024-05-01 14:16:15,211374080
2024-05-01 14:16:30,211447808
2024-05-01 14:16:45,211456000
2024-05-01 14:17:00,211369984
2024-05-01 14:17:15,211369984
2024-05-01 14:17:30,211369984
2024-05-01 14:17:45,211443712
2024-05-01 14:18:00,211443712
2024-05-01 14:18:15,211443712
2024-05-01 14:18:30,211488768
2024-05-01 14:18:45,211546112
2024-05-01 14:19:00,211546112
2024-05-01 14:19:15,211562496
2024-05-01 14:19:30,211595264
2024-05-01 14:19:45,211599360
2024-05-01 14:20:00,211623936
2024-05-01 14:20:15,211701760
2024-05-01 14:20:30,211705856
2024-05-01 14:20:45,211701760
2024-05-01 14:21:00,211681280
2024-05-01 14:21:15,211681280
2024-05-01 14:21:30,211681280
2024-05-01 14:21:45,211689472
2024-05-01 14:22:00,211599360
2024-05-01 14:22:15,211599360
2024-05-01 14:22:30,211599360
2024-05-01 14:22:45,211611648
2024-05-01 14:23:00,315703296
2024-05-01 14:23:15,315703296
2024-05-01 14:23:30,512974848
2024-05-01 14:23:45,523403264
2024-05-01 14:24:00,217333760
2024-05-01 14:24:15,211542016
2024-05-01 14:24:30,211542016
2024-05-01 14:24:45,211542016
2024-05-01 14:25:00,211542016
2024-05-01 14:25:15,211673088
2024-05-01 14:25:30,211542016
2024-05-01 14:25:45,211566592
2024-05-01 14:26:00,211570688
2024-05-01 14:26:15,211570688
2024-05-01 14:26:30,211582976
2024-05-01 14:26:45,211582976
2024-05-01 14:27:00,211582976
2024-05-01 14:27:15,211734528
2024-05-01 14:27:30,211599360
2024-05-01 14:27:45,211599360
2024-05-01 14:28:00,211599360
2024-05-01 14:28:15,211599360
2024-05-01 14:28:30,211599360
2024-05-01 14:28:45,212115456
2024-05-01 14:29:00,217583616
2024-05-01 14:29:15,217583616
2024-05-01 14:29:30,292442112
2024-05-01 14:29:45,523382784
2024-05-01 14:30:00,213012480
2024-05-01 14:30:15,214171648
2024-05-01 14:30:30,214458368
2024-05-01 14:30:45,214487040
2024-05-01 14:31:00,214548480
2024-05-01 14:31:15,214548480
2024-05-01 14:31:30,214642688
2024-05-01 14:31:45,214659072
2024-05-01 14:32:00,214659072
2024-05-01 14:32:15,214659072
2024-05-01 14:32:30,214564864
2024-05-01 14:32:45,214564864
2024-05-01 14:33:00,214597632
2024-05-01 14:33:15,214597632
2024-05-01 14:33:30,214626304
2024-05-01 14:33:45,214626304
2024-05-01 14:34:00,214626304
2024-05-01 14:34:15,214626304
2024-05-01 14:34:30,214634496
2024-05-01 14:34:45,214663168
2024-05-01 14:35:00,214663168
2024-05-01 14:35:15,214663168
2024-05-01 14:35:30,481153024
2024-05-01 14:35:45,366829568
2024-05-01 14:36:00,389505024
2024-05-01 14:36:15,523407360
2024-05-01 14:36:30,214917120
2024-05-01 14:36:45,214917120
2024-05-01 14:37:00,215023616
2024-05-01 14:37:15,213594112
2024-05-01 14:37:30,213598208
2024-05-01 14:37:45,213598208
2024-05-01 14:38:00,213598208
2024-05-01 14:38:15,213598208
2024-05-01 14:38:30,213614592
2024-05-01 14:38:45,213917696
2024-05-01 14:39:00,213946368
2024-05-01 14:39:15,213950464
2024-05-01 14:39:30,213958656
2024-05-01 14:39:45,213864448
2024-05-01 14:40:00,213868544
2024-05-01 14:40:15,326836224
2024-05-01 14:40:30,444485632
2024-05-01 14:40:45,444485632
2024-05-01 14:41:00,505053184
2024-05-01 14:41:15,213921792
2024-05-01 14:41:30,213917696
2024-05-01 14:41:45,213917696
2024-05-01 14:42:00,214028288
2024-05-01 14:42:15,214216704
2024-05-01 14:42:30,214085632
2024-05-01 14:42:45,214085632
2024-05-01 14:43:00,214085632
2024-05-01 14:43:15,214106112
2024-05-01 14:43:30,214102016
2024-05-01 14:43:45,214085632
2024-05-01 14:44:00,214085632
2024-05-01 14:44:15,214110208
2024-05-01 14:44:30,214110208
2024-05-01 14:44:45,214110208
2024-05-01 14:45:00,214110208
2024-05-01 14:45:15,214110208
2024-05-01 14:45:30,214110208
2024-05-01 14:45:45,214110208
2024-05-01 14:46:00,214110208
2024-05-01 14:46:15,214110208
2024-05-01 14:46:30,214110208
2024-05-01 14:46:45,214110208
2024-05-01 14:47:00,214110208
2024-05-01 14:47:15,214110208
2024-05-01 14:47:30,214110208
2024-05-01 14:47:45,214110208
2024-05-01 14:48:00,214110208
2024-05-01 14:48:15,214110208
2024-05-01 14:48:30,214110208
2024-05-01 14:48:45,214110208
2024-05-01 14:49:00,214110208